"pubid","member","year"
"24108790","Huang, Ying","2013"
"23881548","Huang, Ying","2013"
"23811760","Huang, Ying","2013"
"23409839","Huang, Ying","2013"
"23193062","Huang, Ying","2013"
"24384634","Janes, Holly","2013"
"24029738","Janes, Holly","2013"
"23878319","Janes, Holly","2013"
"23872613","Janes, Holly","2013"
"23811760","Janes, Holly","2013"
"23624212","Janes, Holly","2013"
"23597282","Janes, Holly","2013"
"24361676","Kemp, Christopher","2013"
"24107773","Kemp, Christopher","2013"
"24088786","Kemp, Christopher","2013"
"23602475","Kemp, Christopher","2013"
"24513167","Kiem, Hans-Peter","2013"
"24287598","Kiem, Hans-Peter","2013"
"24220323","Kiem, Hans-Peter","2013"
"24025078","Kiem, Hans-Peter","2013"
"23719296","Kiem, Hans-Peter","2013"
"23666780","Kiem, Hans-Peter","2013"
"23587923","Kiem, Hans-Peter","2013"
"23478911","Kiem, Hans-Peter","2013"
"23418547","Kiem, Hans-Peter","2013"
"24336170","Kooperberg, Charles","2013"
"24094743","Kooperberg, Charles","2013"
"24072694","Kooperberg, Charles","2013"
"24068893","Kooperberg, Charles","2013"
"23956302","Kooperberg, Charles","2013"
"23735608","Kooperberg, Charles","2013"
"23341774","Kooperberg, Charles","2013"
"23266556","Kooperberg, Charles","2013"
"24171516","LeBlanc, Michael","2013"
"24130072","LeBlanc, Michael","2013"
"24092238","LeBlanc, Michael","2013"
"23669424","LeBlanc, Michael","2013"
"23233710","LeBlanc, Michael","2013"
"23054397","Luebeck, Georg","2013"
"23983240","Ma, Jing","2013"
"23266556","Ma, Jing","2013"
"24302980","Matsen, Frederick","2013"
"24109214","Matsen, Frederick","2013"
"24058885","Matsen, Frederick","2013"
"24009513","Matsen, Frederick","2013"
"23870316","Matsen, Frederick","2013"
"23843314","Matsen, Frederick","2013"
"23656731","Matsen, Frederick","2013"
"23505415","Matsen, Frederick","2013"
"23220574","Matsen, Frederick","2013"
"24411921","Othus, Megan","2013"
"23829510","Othus, Megan","2013"
"23325837","Othus, Megan","2013"
"24336170","Peters, Ulrike","2013"
"24220915","Peters, Ulrike","2013"
"24192010","Peters, Ulrike","2013"
"24094743","Peters, Ulrike","2013"
"24068893","Peters, Ulrike","2013"
"24053119","Peters, Ulrike","2013"
"23983240","Peters, Ulrike","2013"
"23975947","Peters, Ulrike","2013"
"23956302","Peters, Ulrike","2013"
"23917455","Peters, Ulrike","2013"
"23720162","Peters, Ulrike","2013"
"23712987","Peters, Ulrike","2013"
"23698163","Peters, Ulrike","2013"
