"Name","Last","First","Division","Primary.Division","Secondary.Division","Institution","Faculty.Rank","TDS","IIRC","PAM"
"Pierce, Robert","Pierce","Robert","CRD","CRD",NA,"Fred Hutchinson","Member",TRUE,TRUE,TRUE
"Randolph, Timothy","Randolph","Tim","CRD,PHS","CRD","PHS","Fred Hutchinson","Joint Associate Member",TRUE,FALSE,FALSE
"Riddell, Stanley","Riddell","Stanley","CRD","CRD",NA,"Fred Hutchinson","Member",TRUE,TRUE,TRUE
"Robins, Harlan","Robins","Harlan","PHS,HB","PHS","HB","Fred Hutchinson","Member",TRUE,TRUE,TRUE
"Salama, Nina","Salama","Nina","HB,PHS","HB","PHS","Fred Hutchinson","Member",TRUE,FALSE,TRUE
"Schiffer, Joshua","Schiffer","Joshua ","VIDD,CRD","VIDD","CRD","Fred Hutchinson","Associate Member",TRUE,FALSE,TRUE
"Strong, Roland","Strong","Roland","BS,VIDD","BS","VIDD","Fred Hutchinson","Member",TRUE,TRUE,TRUE
"Subramaniam, Arvind","Subramaniam","Avind","BS,VIDD","BS","VIDD","Fred Hutchinson","Assistant Member",TRUE,FALSE,FALSE
"Sun, Wei","Sun","Wei","PHS","PHS",NA,"Fred Hutchinson","Member",TRUE,TRUE,FALSE
"Tapscott, Stephen","Tapscott","Stephen","HB,CRD","HB","CRD","Fred Hutchinson","Member",TRUE,FALSE,FALSE
"Trunnell, Matthew","Trunnell","Matthew","HDC","HDC",NA,"Fred Hutchinson","VP & Chief Data Officer",TRUE,FALSE,FALSE
"Turtle, Cameron","Turtle","Cameron","CRD","CRD",NA,"Fred Hutchinson","Associate Member",TRUE,TRUE,FALSE
"Uldrick, Thomas","Uldrick","Thomas ","VIDD,CRD","VIDD","CRD","Fred Hutchinson","Associate Member",TRUE,FALSE,TRUE
"Unger, Joseph","Unger","Joseph","PHS","PHS",NA,"Fred Hutchinson","Assistant Member",TRUE,FALSE,FALSE
"Wang, Ching-Yun","Wang","Ching-Yun (C.Y.)","PHS","PHS",NA,"Fred Hutchinson","Member",TRUE,FALSE,FALSE
"Warren, Edus","Warren","Edus","CRD","CRD",NA,"Fred Hutchinson","Member",TRUE,TRUE,TRUE
"Wu, Michael","Wu","Michael","PHS","PHS",NA,"Fred Hutchinson","Associate Member",TRUE,FALSE,FALSE
"Wu, Qian","Wu","Vicky","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",TRUE,TRUE,FALSE
"Zager, Michael","Zager","Michael","HDC","HDC",NA,"Fred Hutchinson","N/A",TRUE,FALSE,FALSE
"Zhao, Lue Ping","Zhao","Lue Ping","PHS","PHS",NA,"Fred Hutchinson","Member",TRUE,FALSE,FALSE
"Zhao, Yingqi","Zhao","Yingqi","PHS","PHS",NA,"Fred Hutchinson","Associate Member",TRUE,FALSE,FALSE
"Zheng, Yingye","Zheng","Yingye","PHS","PHS",NA,"Fred Hutchinson","Member",TRUE,FALSE,FALSE
"Appelbaum, Frederick","Appelbaum","Fred","CRD","CRD",NA,"Fred Hutchinson","Member",FALSE,TRUE,FALSE
"Bar, Merav","Bar","Merav","CRD","CRD",NA,"Fred Hutchinson","Assistant Member",FALSE,TRUE,FALSE
"Bleakley, Marie","Bleakley","Marie","CRD","CRD",NA,"Fred Hutchinson","Associate Member",FALSE,TRUE,FALSE
